,movies_title,movies_genre,movies_year,production_country,movies_imdb_rating,movies_runtime,movie_link
29, Godzilla Minus One (2023),"Science-Fiction, Horror, Action & Adventure, Drama",2023,Japan,7.7  (139k),2h 4min,https://www.justwatch.com/in/movie/godzilla-minus-one
30, Oppenheimer (2023),"Drama, History",2023,"United States, United Kingdom",8.3  (775k),3h 0min,https://www.justwatch.com/in/movie/oppenheimer
31, Mr. & Mrs. Mahi (2024),"Romance, Drama, Sport",2024,India,6.2  (13k),2h 19min,https://www.justwatch.com/in/movie/mr-and-mrs-mahi
32, The Ministry of Ungentlemanly Warfare (2024),"Comedy, War & Military, Action & Adventure, Drama",2024,"Turkey, United States, United Kingdom",6.9  (65k),2h 0min,https://www.justwatch.com/in/movie/the-ministry-of-ungentlemanly-warfare
33, Wild Wild Punjab (2024),"Action & Adventure, Comedy, Romance",2024,India,6.6  (13k),1h 51min,https://www.justwatch.com/in/movie/wild-wild-punjab
34, Chandu Champion (2024),"Drama, History, Sport, War & Military, Action & Adventure",2024,India,6.6  (13k),2h 22min,https://www.justwatch.com/in/movie/chandu-champion
35, Guruvayoor Ambalanadayil (2024),Comedy,2024,India,6.6  (2k),2h 12min,https://www.justwatch.com/in/movie/guruvayoor-ambalanadayil
36, Bhaiyya Ji (2024),"Action & Adventure, Drama",2024,India,5.6  (6k),2h 30min,https://www.justwatch.com/in/movie/bhaiyaaji
37, Animal (2023),"Drama, Crime, Mystery & Thriller, Action & Adventure",2023,India,6.2  (95k),3h 24min,https://www.justwatch.com/in/movie/animal-2022
38, Addicted (2014),"Drama, Mystery & Thriller, Romance",2014,United States,5.0  (12k),1h 45min,https://www.justwatch.com/in/movie/addicted
39, Inside Out 2 (2024),"Action & Adventure, Comedy, Animation, Kids & Family, Fantasy, Drama",2024,United States,5.0  (12k),1h 37min,https://www.justwatch.com/in/movie/inside-out-2
40, A Quiet Place: Day One (2024),"Mystery & Thriller, Drama, Horror, Science-Fiction",2024,"United Kingdom, Canada, United States",5.0  (12k),1h 39min,https://www.justwatch.com/in/movie/a-quiet-place-day-one
